Station, Shaft Number, Date-Time, Part, MeasType, WorkOrder, Diam Reading, Diam UL, Diam LL, Pass/Fail
Auto sanding - 01,84,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.529,9.601,9.398,Passed
Auto sanding - 01,85,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.572,9.601,9.398,Passed
Auto sanding - 01,87,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.517,9.601,9.398,Passed
Auto sanding - 01,86,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.546,9.601,9.398,Passed
Auto sanding - 01,88,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.517,9.601,9.398,Passed
Auto sanding - 01,87,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.526,9.601,9.398,Passed
Auto sanding - 01,89,10/4/2019 9:08,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.507,9.601,9.398,Passed
Auto sanding - 01,88,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.546,9.601,9.398,Passed
Auto sanding - 01,90,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.508,9.601,9.398,Passed
Auto sanding - 01,89,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.571,9.601,9.398,Passed
Auto sanding - 01,91,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.521,9.601,9.398,Passed
Auto sanding - 01,90,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.567,9.601,9.398,Passed
Auto sanding - 01,92,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.504,9.601,9.398,Passed
Auto sanding - 01,93,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.514,9.601,9.398,Passed
Auto sanding - 01,91,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.56,9.601,9.398,Passed
Auto sanding - 01,92,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.579,9.601,9.398,Passed
Auto sanding - 01,94,10/4/2019 9:09,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.527,9.601,9.398,Passed
Auto sanding - 01,93,10/4/2019 9:10,SF247-IR-1A,UPT TOD @ 100 MM,339864,9.553,9.601,9.398,Passed
Auto sanding - 01,95,10/4/2019 9:10,SF247-IR-1A,UPT TOD @ 10 MM,339864,9.505,9.601,9.398,Passed
